"USPS","geoid","pop2019est"
"MO","29065",15573
"IA","19079",14773
"IA","19121",16338
"AR","05087",16576
"MN","27129",14548
"NE","31131",16012
"AL","01065",14651
"WA","53055",17582
"OK","40095",16931
"VA","51135",15232
"KY","21127",15317
"FL","12045",13639
"OH","39067",15040
"WY","56007",14800
"MI","26011",14883
"VA","51051",14318
"WI","55129",15720
"IA","19145",15107
"VA","51101",17148
"IN","18159",15148
"KY","21045",16159
"SC","45009",14066
"GA","13133",18324
"MN","27127",15170
"AR","05021",14551
"MT","30041",16484
"OR","41001",16124
"WI","55003",15562
"MN","27001",15886
"CO","08093",18845
"IN","18165",15498
"IL","17159",15513
"MN","27065",16337
"GA","13027",15457
"VA","51005",14860
"ID","16049",16667
"LA","22049",15744
"GA","13241",17137
"KS","20139",15949
"IA","19067",15642
"ND","38077",16177
"IL","17023",15441
"KY","21119",14806
"IA","19095",16184
"WV","54041",15907
"NM","35057",15461
"VA","51750",18249
"FL","12029",16826
"MI","26053",13975
"IL","17149",15561
"IL","17131",15437
"TN","47005",16160
"MS","28129",15916
"GA","13271",15860
"KS","20133",16007
"NV","32013",16831
"MA","25007",17332
"WI","55113",16558
"IL","17039",15638
"OK","40117",16376
"WV","54103",15065
"WV","54001",16441
"TX","48287",17239
"TX","48395",17074
"GA","13083",16116
"WI","55023",16131
"AR","05089",16694
"IA","19041",16016
"IA","19059",17258
"ID","16045",18112
"IL","17147",16344
"MS","28023",15541
"NE","31159",17284
"IL","17191",16215
"MO","29059",16878
"TX","48289",17404
"TN","47139",16832
"IL","17101",15678
"WI","55065",16665
"IA","19101",18295
"WV","54091",16695
"KY","21079",17666
"TX","48415",16703
"KS","20005",16073
"GA","13163",15362
"FL","12041",18582
"AK","02050",18386
"TN","47181",16673
"SD","46065",17526
"MO","29013",16172
"KY","21203",16695
"AR","05133",17007
"KY","21215",19351
"MS","28061",16383
"IA","19047",16820
"TN","47023",17297
"VA","51029",17148
"CO","08097",17767
"MI","26079",18038
"TX","48051",18443
"LA","22027",15670
"GA","13075",17270
"TX","48163",20306
"IN","18045",16346
